episodes,learn_rate,epsilon,epsilon_decay,min_epsilon,gamma,mean score
5000,0.1,0.7,0.99,0.1,0.99,0.8
5000,0.1,1.0,0.99,0.05,0.99,0.8
5000,0.2,0.7,0.99,0.1,0.99,0.8
5000,0.2,1.0,0.99,0.1,0.99,0.8
5000,0.2,1.0,0.99,0.05,0.9,0.7
5000,0.2,0.7,0.95,0.1,0.9,0.7
5000,0.1,1.0,0.95,0.1,0.99,0.6
5000,0.1,0.5,0.99,0.1,0.9,0.5
5000,0.1,1.0,0.99,0.05,0.9,0.3
5000,0.1,0.7,0.99,0.1,0.9,0.3
5000,0.2,1.0,0.99,0.1,0.9,0.2
5000,0.2,0.5,0.99,0.1,0.9,0.1
5000,0.1,0.5,0.99,0.05,0.99,0.0
5000,0.1,0.5,0.99,0.05,0.9,0.0
5000,0.1,0.5,0.95,0.05,0.99,0.0
5000,0.1,0.7,0.99,0.05,0.99,0.0
5000,0.1,0.5,0.99,0.1,0.99,0.0
5000,0.1,0.7,0.95,0.1,0.9,0.0
5000,0.1,0.5,0.95,0.05,0.9,0.0
5000,0.1,0.5,0.95,0.1,0.99,0.0
5000,0.1,1.0,0.99,0.1,0.9,0.0
5000,0.1,0.7,0.95,0.1,0.99,0.0
5000,0.1,0.7,0.99,0.05,0.9,0.0
5000,0.1,1.0,0.99,0.1,0.99,0.0
5000,0.1,0.7,0.95,0.05,0.99,0.0
5000,0.1,1.0,0.95,0.05,0.9,0.0
5000,0.1,0.7,0.95,0.05,0.9,0.0
5000,0.1,0.5,0.95,0.1,0.9,0.0
5000,0.2,0.5,0.99,0.05,0.9,0.0
5000,0.1,1.0,0.95,0.05,0.99,0.0
5000,0.1,1.0,0.95,0.1,0.9,0.0
5000,0.2,0.5,0.95,0.05,0.9,0.0
5000,0.2,0.5,0.99,0.1,0.99,0.0
5000,0.2,0.5,0.95,0.05,0.99,0.0
5000,0.2,0.5,0.99,0.05,0.99,0.0
5000,0.2,0.5,0.95,0.1,0.9,0.0
5000,0.2,0.7,0.99,0.05,0.9,0.0
5000,0.2,0.7,0.99,0.05,0.99,0.0
5000,0.2,0.5,0.95,0.1,0.99,0.0
5000,0.2,0.7,0.99,0.1,0.9,0.0
5000,0.2,0.7,0.95,0.05,0.9,0.0
5000,0.2,0.7,0.95,0.05,0.99,0.0
5000,0.2,0.7,0.95,0.1,0.99,0.0
5000,0.2,1.0,0.99,0.05,0.99,0.0
5000,0.2,1.0,0.95,0.05,0.9,0.0
5000,0.2,1.0,0.95,0.05,0.99,0.0
5000,0.2,1.0,0.95,0.1,0.9,0.0
5000,0.2,1.0,0.95,0.1,0.99,0.0
