Learning Rate,Learning rate b,Gamma,Episodes,Solved Episode
0.01,0.1,0.99,1000,1000
0.01,0.01,0.99,1000,1000
0.01,0.001,0.99,1000,1000
0.01,0.1,0.95,1000,1000
0.01,0.01,0.95,1000,1000
0.01,0.001,0.95,1000,1000
0.001,0.1,0.99,1000,1000
0.001,0.01,0.99,1000,1000
0.001,0.001,0.99,1000,1000
0.001,0.1,0.95,1000,1000
0.001,0.01,0.95,1000,1000
0.001,0.001,0.95,1000,1000
0.0001,0.1,0.99,1000,1000
0.0001,0.01,0.99,1000,1000
0.0001,0.001,0.99,1000,1000
0.0001,0.1,0.95,1000,1000
0.0001,0.01,0.95,1000,1000
0.0001,0.001,0.95,1000,1000
