Source,Target,Actor LR,Critic LR Mult,Gamma,Episodes to Solve,Solved
CartPole-v1,MountainCar-v0,0.001,0.01,0.99,400,True
CartPole-v1,MountainCar-v0,0.0001,0.001,0.99,400,True
CartPole-v1,MountainCar-v0,0.0001,0.1,0.99,500,True
CartPole-v1,MountainCar-v0,0.001,0.1,0.99,500,True
CartPole-v1,MountainCar-v0,0.0001,0.01,0.99,600,True
CartPole-v1,MountainCar-v0,0.001,0.001,0.99,600,True
Acrobot-v1,CartPole-v1,0.0001,0.01,0.99,600,True
Acrobot-v1,CartPole-v1,0.0001,0.1,0.99,800,True
Acrobot-v1,CartPole-v1,0.0001,0.001,0.99,900,True
CartPole-v1,MountainCar-v0,0.01,0.1,0.95,1000,False
Acrobot-v1,CartPole-v1,0.01,0.1,0.99,1000,False
CartPole-v1,MountainCar-v0,0.01,0.1,0.99,1000,False
Acrobot-v1,CartPole-v1,0.01,0.001,0.99,1000,False
CartPole-v1,MountainCar-v0,0.01,0.001,0.99,1000,False
Acrobot-v1,CartPole-v1,0.01,0.01,0.99,1000,False
CartPole-v1,MountainCar-v0,0.01,0.01,0.99,1000,False
Acrobot-v1,CartPole-v1,0.001,0.01,0.99,1000,False
Acrobot-v1,CartPole-v1,0.001,0.1,0.99,1000,False
Acrobot-v1,CartPole-v1,0.01,0.001,0.95,1000,False
CartPole-v1,MountainCar-v0,0.01,0.001,0.95,1000,False
CartPole-v1,MountainCar-v0,0.01,0.01,0.95,1000,False
Acrobot-v1,CartPole-v1,0.01,0.01,0.95,1000,False
Acrobot-v1,CartPole-v1,0.01,0.1,0.95,1000,False
Acrobot-v1,CartPole-v1,0.001,0.001,0.99,1000,False
CartPole-v1,MountainCar-v0,0.001,0.001,0.95,1000,True
Acrobot-v1,CartPole-v1,0.001,0.001,0.95,1000,False
CartPole-v1,MountainCar-v0,0.001,0.01,0.95,1000,False
Acrobot-v1,CartPole-v1,0.001,0.01,0.95,1000,False
CartPole-v1,MountainCar-v0,0.001,0.1,0.95,1000,True
Acrobot-v1,CartPole-v1,0.001,0.1,0.95,1000,False
Acrobot-v1,CartPole-v1,0.0001,0.1,0.95,1000,False
CartPole-v1,MountainCar-v0,0.0001,0.1,0.95,1000,False
Acrobot-v1,CartPole-v1,0.0001,0.01,0.95,1000,False
CartPole-v1,MountainCar-v0,0.0001,0.01,0.95,1000,False
Acrobot-v1,CartPole-v1,0.0001,0.001,0.95,1000,False
CartPole-v1,MountainCar-v0,0.0001,0.001,0.95,1000,False
